numNodes,maxDelayTime,createEdgeThreshold,edgeWeightMax,correctness,standardDeviation
7,9,5,15,15,5.486666
7,9,5,20,20,7.68026
7,9,7,5,13,4.440442
7,9,7,10,19,5.69134
7,9,7,15,28,9.236997
7,9,7,20,44,11.890121
7,9,9,5,18,5.185872
7,9,9,10,30,7.409082
7,9,9,15,52,10.362775
7,9,9,20,57,6.170718
8,9,1,5,0,1.273756
8,9,1,10,1,1.418733
8,9,1,15,1,1.573848
8,9,1,20,1,1.69708
8,9,3,5,4,2.638235
8,9,3,10,5,3.164022
8,9,3,15,7,3.45384
8,9,3,20,8,3.915777
8,9,5,5,8,3.675256
8,9,5,10,11,4.499027
8,9,5,15,15,5.5295
8,9,5,20,19,7.476062
8,9,7,5,13,4.557823
8,9,7,10,19,5.875163
8,9,7,15,29,9.134573
8,9,7,20,48,12.365012
8,9,9,5,19,5.505018
8,9,9,10,30,7.895952
8,9,9,15,54,10.700443
8,9,9,20,60,6.458994
